Date,Open,High,Low,Close,Adj Close,Volume
2023-02-23,255.56 ,256.84 ,250.48 ,254.77 ,252.2410736,29219100
2023-02-24,249.96 ,251.00 ,248.10 ,249.22 ,246.7461548,24990900
2023-02-27,252.46 ,252.82 ,249.39 ,250.16 ,247.6768341,21190000
2023-02-28,249.07 ,251.49 ,248.73 ,249.42 ,246.9441681,22491000
2023-03-01,250.76 ,250.93 ,245.79 ,246.27 ,243.8254547,27565300
2023-03-02,246.55 ,251.40 ,245.61 ,251.11 ,248.6174011,24808200
2023-03-03,252.19 ,255.62 ,251.39 ,255.29 ,252.7559204,30760100
2023-03-06,256.43 ,260.12 ,255.98 ,256.87 ,254.3202362,24109800
2023-03-07,256.30 ,257.69 ,253.39 ,254.15 ,251.6272125,21473200
2023-03-08,254.04 ,254.54 ,250.81 ,253.70 ,251.1816864,17340200
2023-03-09,255.82 ,259.56 ,251.58 ,252.32 ,249.8154144,26653400
2023-03-10,251.08 ,252.79 ,247.60 ,248.59 ,246.122406,28333900
2023-03-13,247.40 ,257.91 ,245.73 ,253.92 ,251.3995056,33339700
2023-03-14,256.75 ,261.07 ,255.86 ,260.79 ,258.2013245,33620300
2023-03-15,259.98 ,266.48 ,259.21 ,265.44 ,262.8051453,46028000
2023-03-16,265.21 ,276.56 ,263.28 ,276.20 ,273.458374,54768800
2023-03-17,278.26 ,283.33 ,276.32 ,279.43 ,276.6562805,69527400
2023-03-20,276.98 ,277.48 ,269.85 ,272.23 ,269.527771,43466600
2023-03-21,274.88 ,275.00 ,269.52 ,273.78 ,271.0623474,34558700
2023-03-22,273.40 ,281.04 ,272.18 ,272.29 ,269.5871887,34873300
2023-03-23,277.94 ,281.06 ,275.20 ,277.66 ,274.9038696,36610900
2023-03-24,277.24 ,280.63 ,275.28 ,280.57 ,277.7850037,28172000
2023-03-27,280.50 ,281.46 ,275.52 ,276.38 ,273.6365967,26840200
2023-03-28,275.79 ,276.14 ,272.05 ,275.23 ,272.4980164,21878600
2023-03-29,278.96 ,281.14 ,278.41 ,280.51 ,277.7255859,25087000
2023-03-30,284.23 ,284.46 ,281.48 ,284.05 ,281.2304382,25053400
2023-03-31,283.73 ,289.27 ,283.00 ,288.30 ,285.4382324,32766000
2023-04-03,286.52 ,288.27 ,283.95 ,287.23 ,284.3788757,24883300
2023-04-04,287.23 ,290.45 ,285.67 ,287.18 ,284.3293762,25824300
2023-04-05,285.85 ,287.15 ,282.92 ,284.34 ,281.5175171,22064800
2023-04-06,283.21 ,292.08 ,282.03 ,291.60 ,288.7054749,29770300
2023-04-10,289.21 ,289.60 ,284.71 ,289.39 ,286.5174561,23103000
2023-04-11,285.75 ,285.98 ,281.64 ,282.83 ,280.022522,27276600
2023-04-12,284.79 ,287.01 ,281.96 ,283.49 ,280.6759949,27403400
2023-04-13,283.59 ,289.90 ,283.17 ,289.84 ,286.9629517,24222700
2023-04-14,287.00 ,288.48 ,283.69 ,286.14 ,283.2996826,20987900
2023-04-17,289.93 ,291.60 ,286.16 ,288.80 ,285.9332581,23836200
2023-04-18,291.57 ,291.76 ,287.01 ,288.37 ,285.5075378,20161800
2023-04-19,285.99 ,289.05 ,284.54 ,288.45 ,285.5867615,17150300
2023-04-20,285.25 ,289.03 ,285.08 ,286.11 ,283.269928,23244400
2023-04-21,285.01 ,286.27 ,283.06 ,285.76 ,282.9234924,21676400
2023-04-24,282.09 ,284.95 ,278.72 ,281.77 ,278.973053,26611000
2023-04-25,279.51 ,281.60 ,275.37 ,275.42 ,272.6861267,45772200
2023-04-26,296.70 ,299.57 ,292.73 ,295.37 ,292.4380493,64599200
2023-04-27,295.97 ,305.20 ,295.25 ,304.83 ,301.8041382,46462600
2023-04-28,304.01 ,308.93 ,303.31 ,307.26 ,304.210083,36446700
2023-05-01,306.97 ,308.60 ,305.15 ,305.56 ,302.5269165,21294100
2023-05-02,307.76 ,309.18 ,303.91 ,305.41 ,302.3783875,26404400
2023-05-03,306.62 ,308.61 ,304.09 ,304.40 ,301.3784485,22360800
2023-05-04,306.24 ,307.76 ,303.40 ,305.41 ,302.3783875,22519900
2023-05-05,305.72 ,311.97 ,304.27 ,310.65 ,307.5664063,28181200
2023-05-08,310.13 ,310.20 ,306.09 ,308.65 ,305.5862122,21318600
2023-05-09,308.00 ,310.04 ,306.31 ,307.00 ,303.9526062,21340800
2023-05-10,308.62 ,313.00 ,307.67 ,312.31 ,309.2098999,30078000
2023-05-11,310.10 ,311.12 ,306.26 ,310.11 ,307.0317078,31680200
2023-05-12,310.55 ,310.65 ,306.60 ,308.97 ,305.9031067,19758100
2023-05-15,309.10 ,309.90 ,307.59 ,309.46 ,306.3882141,16336500
2023-05-16,309.83 ,313.71 ,309.83 ,311.74 ,308.6455994,26730300
2023-05-17,312.29 ,314.43 ,310.74 ,314.00 ,311.5627441,24315000
2023-05-18,314.53 ,319.04 ,313.72 ,318.52 ,316.0476685,27276000
2023-05-19,316.74 ,318.75 ,316.37 ,318.34 ,315.8690491,27529500
2023-05-22,318.60 ,322.59 ,318.01 ,321.18 ,318.6870117,24115700
2023-05-23,320.03 ,322.72 ,315.25 ,315.26 ,312.8129578,30797200
2023-05-24,314.73 ,316.50 ,312.61 ,313.85 ,311.4139099,23384900
2023-05-25,323.24 ,326.90 ,320.00 ,325.92 ,323.3901978,43301700
2023-05-26,324.02 ,333.40 ,323.88 ,332.89 ,330.3061523,36630600
2023-05-30,335.23 ,335.74 ,330.52 ,331.21 ,328.6391602,29503100
2023-05-31,332.29 ,335.94 ,327.33 ,328.39 ,325.8410645,45950600
2023-06-01,325.93 ,333.53 ,324.72 ,332.58 ,329.9985046,26773900
2023-06-02,334.25 ,337.50 ,332.55 ,335.40 ,332.7966309,25864000
2023-06-05,335.22 ,338.56 ,334.66 ,335.94 ,333.332489,21307100
2023-06-06,335.33 ,335.37 ,332.17 ,333.68 ,331.0899658,20396200
2023-06-07,331.65 ,334.49 ,322.50 ,323.38 ,320.8699341,40717100
2023-06-08,323.94 ,326.64 ,323.35 ,325.26 ,322.7353516,23277700
2023-06-09,324.99 ,329.99 ,324.41 ,326.79 ,324.253479,22514900
2023-06-12,328.58 ,332.10 ,325.16 ,331.85 ,329.2742004,24260300
2023-06-13,334.47 ,336.98 ,330.39 ,334.29 ,331.6952515,22951300
2023-06-14,334.34 ,339.04 ,332.81 ,337.34 ,334.7215881,26003800
2023-06-15,337.48 ,349.84 ,337.20 ,348.10 ,345.3980408,38899100
2023-06-16,351.32 ,351.47 ,341.95 ,342.33 ,339.6728516,46533600
2023-06-20,339.31 ,342.08 ,335.86 ,338.05 ,335.4260864,26375400
2023-06-21,336.37 ,337.73 ,332.07 ,333.56 ,330.9708862,25117800
2023-06-22,334.12 ,340.12 ,333.34 ,339.71 ,337.0731812,23556800
2023-06-23,334.36 ,337.96 ,333.45 ,335.02 ,332.4195862,23084700
2023-06-26,333.72 ,336.11 ,328.49 ,328.60 ,326.0494385,21520600
2023-06-27,331.86 ,336.15 ,329.30 ,334.57 ,331.9730835,24354100
2023-06-28,334.66 ,337.98 ,333.81 ,335.85 ,333.2431641,20259500
